"college_name","category","score","year","score_line","remark"
"兰州石化职业技术大学","理科","478","2023","本科二批",
"新疆第二医学院","理科","472","2023","本科二批",
"新疆理工学院","理科","473","2023","本科二批",
"新疆科技学院","理科","473","2023","本科二批",
"兰州资源环境职业技术大学","理科","471","2023","本科二批",
"北京工商大学","文科","565","2023","本科一批",
"首都经济贸易大学","文科","561","2023","本科一批",
"北京信息科技大学","文科","563","2023","本科一批",
"天津科技大学","文科","547","2023","本科一批",
"天津工业大学","文科","565","2023","本科一批",
"江西中医药大学","文科","553","2023","本科一批",
"江西师范大学","文科","544","2023","本科一批",
"郑州大学","文科","580","2023","本科一批",
"河南工业大学","文科","536","2023","本科一批",
"河南科技大学","文科","536","2023","本科一批",
"河南师范大学","文科","528","2023","本科一批",
"河南财经政法大学","文科","546","2023","本科一批",
"福建师范大学","理科","548","2023","本科一批",
"集美大学","理科","547","2023","本科一批",
